DATE,CPI_diff,IIP_diff,IR_diff,MS_diff,STI_diff,NT_diff,FOREX
2003-08-01,36.509338746254,41.1426680382046,-4.0,1187.8035565278417,37.73823205105551,-41.59552051460155,45.9557
2003-09-01,36.76248514503549,41.46251305375829,-4.0,1188.1510227920287,38.0286096715264,-43.811708961768645,45.8467
2003-10-01,36.34643671995661,41.7668416402073,-4.0,1182.1200865521046,37.925510410377896,-43.66659120939983,45.4036
2003-11-01,36.0525648146199,41.173875661806896,-4.0,1184.453501020866,38.037401157137694,-41.70171641274733,45.5544
2003-12-01,36.13401582776851,41.4930470187101,-4.0,1189.6240969703513,38.6560909586984,-46.13823966642002,45.5741
2004-01-01,36.347902279865,40.8986260119677,-4.0,1187.799640415605,39.7327880977054,-46.34126748290544,45.456
2004-02-01,36.7698129445009,42.2332178146168,-4.0,1199.9832796668254,41.1277618026844,-46.90380256254799,45.2726
2004-03-01,37.27610574206391,41.25830694673021,-4.0,1203.803610680921,41.0266004719455,-49.79028098321261,44.9693
2004-04-01,37.5292521408455,39.1452723813705,-4.0,1203.61635206952,40.5789741484225,-50.28705564023784,43.8918
2004-05-01,37.6616875797931,40.1590784022357,-4.0,1207.428426104432,40.6987638410651,-50.51226215453863,45.1755
2004-06-01,37.5831676864229,39.346050595462906,-3.75,1217.378851734578,43.6981961467323,-55.3099048222498,45.5027
2004-07-01,37.042011621823406,38.3016228416094,-3.75,1215.443506550748,42.2120634206353,-53.40029898906327,46.0557
2004-08-01,36.66961982311649,38.04237097369551,-3.5,1225.111044955937,40.6950637316603,-53.98381977836236,46.322
2004-09-01,36.7554675159137,37.2142269753156,-3.25,1235.3295400630195,41.5215458366044,-52.78418193544939,46.0548
2004-10-01,36.928628461454906,37.908503823412,-3.25,1226.6070204923944,41.0829509031388,-56.40608143764111,45.7355
2004-11-01,37.05373610093731,38.22257923610499,-3.0,1237.5158645385384,43.1715209572335,-60.29271480493328,45.0325
2004-12-01,37.090064927844,38.51610428851281,-2.75,1235.485970080076,43.4774590015206,-55.74739383701475,43.847
2005-01-01,36.8442463285277,38.924466429298896,-2.75,1223.5160591360789,43.08886794597059,-57.29007628273824,43.615
2005-02-01,37.391264632646006,38.93164039886069,-2.5,1226.7743632950762,43.73956112142709,-59.19821060485096,43.5758
2005-03-01,38.0241306295997,37.850468645458896,-2.25,1227.1648321704654,43.7033798593261,-55.00324724357086,43.5861
2005-04-01,38.24094820151289,40.5172055261648,-2.25,1208.4334706269274,42.956235307793605,-57.98867503686688,43.6419
2005-05-01,38.3223992146616,40.2579200537569,-2.0,1214.1219905343848,42.782804609525,-56.319064582898015,43.4095
2005-06-01,38.198757135049306,39.67396728557849,-1.75,1225.3997185511987,42.4527968260646,-59.02569127976278,43.5245
2005-07-01,37.832227575861104,40.41540415709871,-1.75,1211.504913923907,42.2763623213945,-58.93346384700874,43.434
2005-08-01,38.088305094421095,39.328628813588296,-1.5,1217.9980526554916,41.83497921133549,-58.85272629627699,43.55
2005-09-01,38.93505754347141,37.7191382465285,-1.25,1215.5091883425207,40.82718464047999,-65.92039204556816,43.8462
2005-10-01,38.6063223710981,37.6123564697004,-1.25,1216.3460385812089,38.951134566192295,-69.57080935535271,44.7575
2005-11-01,37.5166824425101,39.5351695761012,-1.0,1216.5939199155864,40.076915726987394,-64.90030278980743,45.6315
2005-12-01,37.4279036299344,37.94359562772421,-0.75,1210.489226311768,39.46553939307519,-65.94669229907778,45.5633
2006-01-01,38.143686199907,37.0756569301585,-0.5,1208.428124663071,40.015066627937806,-68.35867381594582,44.201
2006-02-01,38.31245046576141,36.7816546807859,-0.5,1204.120217591688,38.4933962656288,-63.134267241460265,44.23
2006-03-01,38.7765521968608,35.90283851694559,-0.25,1204.314324079866,36.8809270181687,-63.38816084441854,44.3378
