DATE,INDPROINDMISMEI
2009-10-01,81.6702902954825
2009-11-01,84.0600355550976
2009-12-01,84.2429519850033
2010-01-01,85.825364916201
2010-02-01,86.7017021015149
2010-03-01,86.5990903106202
2010-04-01,88.0103350164442
2010-05-01,85.6240943327352
2010-06-01,85.4561833627747
2010-07-01,88.6883276962292
2010-08-01,88.045869244245
2010-09-01,88.7909330667972
2010-10-01,91.2209194275168
2010-11-01,89.5051424643144
2010-12-01,91.1405442876139
2011-01-01,92.2631223089512
2011-02-01,92.4217498796096
2011-03-01,94.6478912609625
2011-04-01,92.8590028387408
2011-05-01,90.5154443892623
2011-06-01,93.7278391303462
2011-07-01,92.1249963279253
2011-08-01,90.6260955575693
2011-09-01,91.0168452882586
2011-10-01,86.6344105573526
2011-11-01,95.1088840962375
2011-12-01,93.9265465979487
2012-01-01,92.943262239624
2012-02-01,93.0444009901794
2012-03-01,92.2421300256324
2012-04-01,90.6175166206278
2012-05-01,92.7280167228293
2012-06-01,91.5652093778862
2012-07-01,90.9614417211372
2012-08-01,91.1737672356439
2012-09-01,89.8741778494761
2012-10-01,92.2217563578582
2012-11-01,91.1049574717144
2012-12-01,91.4027320124915
2013-01-01,91.3237548902969
2013-02-01,91.1426314925985
2013-03-01,92.9083751211166
2013-04-01,93.6053498322158
2013-05-01,93.1380840069285
2013-06-01,90.9487723563974
2013-07-01,93.6002199030527
2013-08-01,95.0009479788189
2013-09-01,95.4912283744756
2013-10-01,94.0651665591849
2013-11-01,94.51661689436
2013-12-01,94.7333059045476
2014-01-01,95.9269207681524
2014-02-01,96.023309605224
2014-03-01,95.8861041660797
2014-04-01,97.3703360755212
2014-05-01,97.2620701883949
2014-06-01,98.3216864348089
2014-07-01,98.7753870423773
2014-08-01,98.1233003092943
2014-09-01,98.8874405510242
2014-10-01,94.6485519323874
2014-11-01,101.433078822185
2014-12-01,98.6532278472666
2015-01-01,98.1027764353187
2015-02-01,98.9435794334422
2015-03-01,98.1724706936947
2015-04-01,97.9948945017758
2015-05-01,98.8990896823529
2015-06-01,99.1999864474853
2015-07-01,100.033741385667
2015-08-01,101.441217149866
2015-09-01,100.76338705276
2015-10-01,103.651066372729
2015-11-01,101.650090835688
2015-12-01,102.128593629891
2016-01-01,102.526888841796
2016-02-01,102.290167140722
2016-03-01,103.06951645505
2016-04-01,104.104671333457
2016-05-01,105.644357422024
2016-06-01,107.297394428592
2016-07-01,105.146695943762
2016-08-01,104.756290713834
2016-09-01,105.659001725779
2016-10-01,108.501311073213
2016-11-01,106.207802348916
2016-12-01,105.005930317528
2017-01-01,105.93489904065
2017-02-01,107.253132656726
2017-03-01,107.614655313404
2017-04-01,107.729372271835
2017-05-01,108.217466510701
2017-06-01,106.978422662442
2017-07-01,106.303247548744
2017-08-01,109.795726867604
2017-09-01,110.384353738262
2017-10-01,110.245712746168
2017-11-01,115.013115698257
2017-12-01,113.105909136517
2018-01-01,113.59298218603
2018-02-01,114.647975775764
2018-03-01,113.618562666596
2018-04-01,112.271514826538
2018-05-01,112.265595665132
2018-06-01,114.891955588342
2018-07-01,113.01910256586
2018-08-01,115.107191893326
2018-09-01,115.814364572143
2018-10-01,119.240546413738
2018-11-01,115.157540590653
2018-12-01,116.036936690866
