DATE,XTNTVA01USM667S
2017-01-01,-66159000000.00001
2017-02-01,-63274000000.0
2017-03-01,-64483999999.99999
2017-04-01,-67111999999.99999
2017-05-01,-65879999999.99999
2017-06-01,-65117999999.99999
2017-07-01,-64209999999.99999
2017-08-01,-64096999999.99999
2017-09-01,-64316999999.99999
2017-10-01,-66443000000.0
2017-11-01,-70493000000.0
2017-12-01,-71826000000.0
2018-01-01,-73161000000.0
2018-02-01,-74022000000.0
2018-03-01,-68869000000.0
2018-04-01,-68781000000.0
2018-05-01,-65522000000.00001
2018-06-01,-68510000000.00001
2018-07-01,-74445000000.0
2018-08-01,-74518000000.0
2018-09-01,-75754000000.0
2018-10-01,-75873000000.0
2018-11-01,-73056000000.0
2018-12-01,-79529000000.0
