DATE,SPASTT01INM661N
2009-11-01,60.8502952529573
2009-12-01,62.5575422125995
2010-01-01,63.0454628296063
2010-02-01,59.2013151095803
2010-03-01,63.1328630540042
2010-04-01,64.6483485844572
2010-05-01,61.5732204883891
2010-06-01,63.2372242587956
2010-07-01,65.2406669600924
2010-08-01,66.443397860705
2010-09-01,70.6501961981512
2010-10-01,74.0206061899476
2010-11-01,73.5261424361079
2010-12-01,72.8330085778757
2011-01-01,70.4514529860845
2011-02-01,65.9307668498491
2011-03-01,67.4652238217335
2011-04-01,71.1344979852896
2011-05-01,66.9865513255015
2011-06-01,66.633733690249
2011-07-01,68.0501217684466
2011-08-01,61.689278921038
2011-09-01,61.0227928100187
2011-10-01,61.3956785018142
2011-11-01,61.1801936323764
2011-12-01,58.4802541198383
2012-01-01,59.9972749114476
